text,sentiment
the rock is destined to be the 21st centurys new conan and that hes going to make a splash even greater than arnold schwarzenegger jeanclaud van damme or steven segal,positive
the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that a column of words cannot adequately describe co peter jacksons expanded vision of j r r tolkiens middleearth,positive
effective but tootepid biopic,positive
if you sometimes like to go to the movies to have fun wasabi is a good place to start,positive
emerges as something rare an issue movie thats so honest and keenly observed that it doesnt feel like one,positive
the film provides some great insight into the neurotic mindset of all comics even those who have reached the absolute top of the game,positive
offers that rare combination of entertainment and education,positive
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions,positive
steers turns in a snappy screenplay that curls at the edges its so clever you want to hate it but he somehow pulls it off,positive
take care of my cat offers a refreshingly different slice of asian cinema,positive
this is a film well worth seeing talking and singing heads and all,positive
what really surprises about wisegirls is its lowkey quality and genuine tenderness,positive
wendigo is why we go to the cinema to be fed through the eye the heart the mind,positive
one of the greatest familyoriented fantasyadventure movies ever,positive
ultimately it ponders the reasons we need stories so much,positive
an utterly compelling who wrote it in which the reputation of the most famous author who ever lived comes into question,positive
illuminating if overly talky documentary,positive
a masterpiece four years in the making,positive
the movies ripe enrapturing beauty will tempt those willing to probe its inscrutable mysteries,positive
offers a breath of the fresh air of true sophistication,positive
a thoughtful provocative insistently humanizing film,positive
with a cast that includes some of the top actors working in independent film lovely amazing involves us because it is so incisive so bleakly amusing about how we go about our lives,positive
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass,positive
not for everyone but for those with whom it will connect its a nice departure from standard moviegoing fare,positive
scores a few points for doing what it does with a dedicated and goodhearted professionalism,positive
occasionally melodramatic its also extremely effective,positive
spiderman rocks,positive
an idealistic love story that brings out the latent 15yearold romantic in everyone,positive
at about 95 minutes treasure planet maintains a brisk pace as it races through the familiar story however it lacks grandeur and that epic quality often associated with stevensons tale as well as with earlier disney efforts,positive
it helps that lil bow wow tones down his pintsized gangsta act to play someone who resembles a real kid,positive
guaranteed to move anyone who ever shook rattled or rolled,positive
a masterful film from a master filmmaker unique in its deceptive grimness compelling in its fatalist worldview,positive
light cute and forgettable,positive
if theres a way to effectively teach kids about the dangers of drugs i think its in projects like the unfortunately rrated paid,positive
while it would be easy to give crush the new title of two weddings and a funeral its a far more thoughtful film than any slice of hugh grant whimsy,positive
though everything might be literate and smart it never took off and always seemed static,positive
cantet perfectly captures the hotel lobbies twolane highways and roadside cafes that permeate vincents days,positive
ms fulfordwierzbicki is almost spooky in her sulky calculating lolita turn,positive
though it is by no means his best work laissezpasser is a distinguished and distinctive effort by a bonafide master a fascinating film replete with rewards to be had by all willing to make the effort to reap them,positive
like most bond outings in recent years some of the stunts are so outlandish that they border on being cartoonlike a heavy reliance on cgi technology is beginning to creep into the series,positive
newton draws our attention like a magnet and acts circles around her better known costar mark wahlberg,positive
the story loses its bite in a lastminute happy ending thats even less plausible than the rest of the picture much of the way though this is a refreshingly novel ride,positive
fuller would surely have called this gutsy and at times exhilarating movie a great yarn,positive
compleja e intelectualmente retadora el ladrn de orqudeas es uno de esos filmes que vale la pena ver precisamente por su originalidad,positive
the film makes a strong case for the importance of the musicians in creating the motown sound,positive
karmen moves like rhythm itself her lips chanting to the beat her long braided hair doing little to wipe away the jeweled beads of sweat,positive
gosling provides an amazing performance that dwarfs everything else in the film,positive
a real movie about real people that gives us a rare glimpse into a culture most of us dont know,positive
tender yet lacerating and darkly funny fable,positive
may be spoofing an easy target those old 50s giant creature features but it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today,positive
an engaging overview of johnsons eccentric career,positive
in its ragged cheap and unassuming way the movie works,positive
some actors have so much charisma that youd be happy to listen to them reading the phone book hugh grant and sandra bullock are two such likeable actors,positive
sandra nettelbeck beautifully orchestrates the transformation of the chilly neurotic and selfabsorbed martha as her heart begins to open,positive
behind the snow games and lovable siberian huskies plus one sheep dog the picture hosts a parkawrapped dose of heart,positive
everytime you think undercover brother has run out of steam it finds a new way to surprise and amuse,positive
manages to be original even though it rips off many of its ideas,positive
bryan adams contributes a slew of songs a few potential hits a few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece,positive
youd think by now america would have had enough of plucky british eccentrics with hearts of gold yet the act is still charming here,positive
whether or not youre enlightened by any of derridas lectures on the other and the self derrida is an undeniably fascinating and playful fellow,positive
a pleasant enough movie held together by skilled ensemble actors,positive
this is the best american movie about troubled teens since 1998s whatever,positive
disney has always been hitormiss when bringing beloved kids books to the screen tuck everlasting is a little of both,positive
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing,positive
the animated subplot keenly depicts the inner struggles of our adolescent heroes insecure uncontrolled and intense,positive
the invincible werner herzog is alive and well and living in la,positive
morton is a great actress portraying a complex character but morvern callar grows less compelling the farther it meanders from its shocking start,positive
part of the charm of satin rouge is that it avoids the obvious with humour and lightness,positive
son of the bride may be a good halfhour too long but comes replete with a flattering sense of mystery and quietness,positive
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them,positive
a taut intelligent psychological drama,positive
a compelling comingofage drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mothers hold over her,positive
a truly moving experience and a perfect example of how art when done right can help heal clarify and comfort,positive
this delicately observed story deeply felt and masterfully stylized is a triumph for its maverick director,positive
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,positive
the appearance of treebeard and gollums expanded role will either have you loving what youre seeing or rolling your eyes i loved it gollums performance is incredible,positive
a screenplay more ingeniously constructed than memento,positive
if this movie were a book it would be a pageturner you cant wait to see what happens next,positive
haneke challenges us to confront the reality of sexual aberration,positive
absorbing and disturbing perhaps more disturbing than originally intended but a little clarity would have gone a long way,positive
its the best film of the year so far the benchmark against which all other best picture contenders should be measured,positive
painful to watch but viewers willing to take a chance will be rewarded with two of the years most accomplished and riveting film performances,positive
this is a startling film that gives you a fascinating albeit depressing view of iranian rural life close to the iraqi border,positive
an imaginative,positive
a few artsy flourishes aside narc is as gritty as a movie gets these days,positive
while the isle is both preposterous and thoroughly misogynistic its vistas are incredibly beautiful to look at,positive
together tok and o orchestrate a buoyant darkly funny dance of death in the process they demonstrate that theres still a lot of life in hong kong cinema,positive
director kapur is a filmmaker with a real flair for epic landscapes and adventure and this is a better film than his earlier englishlanguage movie the overpraised elizabeth,positive
the movie is a blast of educational energy as bouncy animation and catchy songs escort you through the entire 85 minutes,positive
a sports movie with action thats exciting on the field and a story you care about off it,positive
